Date,Open,High,Low,Close,Volume,Ticker,Company_Name,Segment,Exchange,Currency,Daily_Return_Pct,Price_Range,Year,Month,Month_Name,Weekday,Rolling_Volatility_30d
2021-09-14 00:00:00+05:30,787.1039659020626,797.0547113622656,786.1088913560422,790.4872436523438,6301208,AXISBANK.NS,Axis Bank,Bank,NSE,INR,0.7674336620293376,10.945820006223357,2021,9,Sep,Tuesday,1.0268650221361617
2021-09-15 00:00:00+05:30,792.0793327440107,793.5222029719203,783.1236618964025,787.5020141601562,4075592,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.37764423349764265,10.398541075517755,2021,9,Sep,Wednesday,0.922897750071752
2021-09-16 00:00:00+05:30,788.5966214081767,803.4729988422157,785.213343470467,798.6468505859375,15446511,AXISBANK.NS,Axis Bank,Bank,NSE,INR,1.4152137042680257,18.25965537174875,2021,9,Sep,Thursday,1.038884485594629
2021-09-17 00:00:00+05:30,804.8659637613366,816.6576327154397,793.3231241601853,803.3733520507812,14641298,AXISBANK.NS,Axis Bank,Bank,NSE,INR,0.5918136985547662,23.334508555254388,2021,9,Sep,Friday,0.9816391870231057
2021-09-20 00:00:00+05:30,796.0596987270544,804.5675746102928,787.6015644280794,791.9301147460938,6306484,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-1.4243984164369117,16.96601018221338,2021,9,Sep,Monday,1.0504438828430172
2021-09-21 00:00:00+05:30,791.333011959008,795.0645414086732,768.496039580151,791.4324951171875,7833561,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.06283630583562294,26.568501828522244,2021,9,Sep,Tuesday,0.9903680538496684
2021-09-22 00:00:00+05:30,788.5965635661411,792.8753718903196,782.1285791331064,784.4669799804688,4359142,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.8801148777303314,10.746792757213143,2021,9,Sep,Wednesday,0.9712457919073293
2021-09-23 00:00:00+05:30,790.4374652656172,810.4882422687176,788.6463431754657,808.1498413085938,9043492,AXISBANK.NS,Axis Bank,Bank,NSE,INR,3.0189749132225607,21.841899093251868,2021,9,Sep,Thursday,1.29928061861434
2021-09-24 00:00:00+05:30,808.5478442192924,812.9261966996926,791.1837805142169,794.1192626953125,5184626,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-1.7361357877101469,21.74241618547569,2021,9,Sep,Friday,1.3468149686916635
2021-09-27 00:00:00+05:30,798.9454252896911,804.8163290231837,788.8951353304026,793.0247192382812,7715259,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.13783111787469826,15.921193692781117,2021,9,Sep,Monday,1.294373355737204
2021-09-28 00:00:00+05:30,798.0498706405822,801.632115092785,774.168079000465,785.3129272460938,7369680,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.9724529141531546,27.464036092320043,2021,9,Sep,Tuesday,1.270969264165407
