Date,Open,High,Low,Close,Volume,Ticker,Company_Name,Segment,Exchange,Currency,Daily_Return_Pct,Price_Range,Year,Month,Month_Name,Weekday,Rolling_Volatility_20d
2021-09-02 00:00:00+05:30,791.5819100984934,802.1296774414398,788.4972028758974,798.7464599609375,6799617,AXISBANK.NS,Axis Bank,Bank,NSE,INR,,13.632474565542338,2021,9,Sep,Thursday,
2021-09-03 00:00:00+05:30,800.5375038472034,805.9109309014577,783.8202629616264,794.0695190429688,7509746,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.5855351043680956,22.09066793983129,2021,9,Sep,Friday,
2021-09-06 00:00:00+05:30,796.9055155117704,801.9306911219616,791.4326048931393,796.8557739257812,4539192,AXISBANK.NS,Axis Bank,Bank,NSE,INR,0.3508829914754319,10.498086228822217,2021,9,Sep,Monday,
2021-09-07 00:00:00+05:30,794.0695136880357,795.4626423918277,778.1980620131541,783.969482421875,6926921,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-1.6171422640788302,17.2645803786736,2021,9,Sep,Tuesday,
2021-09-08 00:00:00+05:30,786.1089040130595,793.4226777502546,779.1433820787666,790.7857666015625,5903035,AXISBANK.NS,Axis Bank,Bank,NSE,INR,0.8694578465771707,14.279295671487944,2021,9,Sep,Wednesday,
2021-09-09 00:00:00+05:30,785.113818686467,789.7906812108463,780.33747300106,786.2581787109375,4909325,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.5725429164061047,9.45320820978634,2021,9,Sep,Thursday,0.9593424380414232
2021-09-13 00:00:00+05:30,782.1285791331064,786.5566729303206,779.6408928127086,784.4669799804688,4814443,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.22781304906810407,6.91578011761203,2021,9,Sep,Monday,0.8587333736824532
2021-09-14 00:00:00+05:30,787.1040266759888,797.0547729045096,786.1089520531368,790.4873046875,6301208,AXISBANK.NS,Axis Bank,Bank,NSE,INR,0.7674414424914566,10.945820851372787,2021,9,Sep,Tuesday,0.881144994786261
2021-09-15 00:00:00+05:30,792.0793327440107,793.5222029719203,783.1236618964025,787.5020141601562,4075592,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.37765192554533034,10.398541075517755,2021,9,Sep,Wednesday,0.8199168480301902
2021-09-16 00:00:00+05:30,788.5965611410913,803.4729374382297,785.2132834619425,798.6467895507812,15446511,AXISBANK.NS,Axis Bank,Bank,NSE,INR,1.4152059537918094,18.259653976287154,2021,9,Sep,Thursday,0.932142721424201
2021-09-17 00:00:00+05:30,804.866024909892,816.6576947598504,793.3231844317897,803.3734130859375,14641298,AXISBANK.NS,Axis Bank,Bank,NSE,INR,0.5918290284262939,23.334510328060674,2021,9,Sep,Friday,0.8983764047288181
2021-09-20 00:00:00+05:30,796.0596987270544,804.5675746102928,787.6015644280794,791.9301147460938,6306484,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-1.4244059055785074,16.96601018221338,2021,9,Sep,Monday,0.962843895813519
2021-09-21 00:00:00+05:30,791.3330729864921,795.0646027239324,768.4960988464512,791.4325561523438,7833561,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.06282859869642943,26.568503877481135,2021,9,Sep,Tuesday,0.9180409599102152
2021-09-22 00:00:00+05:30,788.5965635661411,792.8753718903196,782.1285791331064,784.4669799804688,4359142,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.8801225218405317,10.746792757213143,2021,9,Sep,Wednesday,0.9070320907824246
2021-09-23 00:00:00+05:30,790.4374055681802,810.4881810569547,788.6462836133024,808.1497802734375,9043492,AXISBANK.NS,Axis Bank,Bank,NSE,INR,3.0189671327604417,21.841897443652215,2021,9,Sep,Thursday,1.2123930302311061
2021-09-24 00:00:00+05:30,808.5477820751709,812.9261342190555,791.1837197046787,794.1192016601562,5184626,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-1.7361359188310388,21.742414514376833,2021,9,Sep,Friday,1.2598897821597461
2021-09-27 00:00:00+05:30,798.9453023080042,804.8162051377885,788.895013895757,793.0245971679688,7715259,AXISBANK.NS,Axis Bank,Bank,NSE,INR,-0.13783881436176815,15.921191242031568,2021,9,Sep,Monday,1.2174602223853561
