Date,Open,High,Low,Close,Volume,Ticker,Company_Name,Segment,Exchange,Currency
2021-09-02 00:00:00+05:30,736.5193863022039,744.8947850702093,735.1858863326421,743.4910888671875,9618524,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-03 00:00:00+05:30,742.1341103203025,747.7021162261457,733.8055478012244,737.4317626953125,10735334,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-06 00:00:00+05:30,739.2565458922177,739.724444603404,730.8343690908638,732.5889892578125,7876896,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-07 00:00:00+05:30,731.0917446980607,740.2157696718924,727.6760612202143,734.2500610351562,7245496,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-08 00:00:00+05:30,735.5133365404894,739.5138932608036,732.5421912271912,737.5955200195312,6724080,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-09 00:00:00+05:30,736.4725873700415,739.0226125546611,730.3899039927794,733.9459228515625,8250948,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-13 00:00:00+05:30,730.8577675105819,741.1515388839704,726.9508247989902,727.83984375,8959164,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-14 00:00:00+05:30,729.9219926150045,732.0275368244709,723.6521384346185,724.5645751953125,9758506,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-15 00:00:00+05:30,718.2245606360663,727.4889784667846,718.2245606360663,723.7457885742188,14822998,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-16 00:00:00+05:30,719.5111710342113,731.9339034181097,718.8327408175843,729.8984985351562,10260550,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-17 00:00:00+05:30,734.1331308228171,743.4911057217695,729.547700275712,740.2860107421875,20498102,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-20 00:00:00+05:30,731.7935977510607,740.0753822447209,728.9862054323227,729.851806640625,8781610,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-21 00:00:00+05:30,730.8577390590561,733.9692767081914,715.393664819418,726.1553344726562,14774996,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-22 00:00:00+05:30,724.7751455141527,725.3132404864232,715.8850694878332,717.6162719726562,10582202,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-23 00:00:00+05:30,721.4998486172622,735.5368106526174,721.4998486172622,734.6010131835938,13664304,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-24 00:00:00+05:30,738.8121413748796,752.3577876180659,736.9405463365646,749.36328125,20806702,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-27 00:00:00+05:30,755.9840034178407,765.2484217091811,752.3812058137348,760.3822631835938,16415462,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-28 00:00:00+05:30,763.6106695972712,763.6106695972712,740.2157348669626,755.6798095703125,12773790,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-29 00:00:00+05:30,747.2342683926307,751.7260847567792,741.6896798907969,745.7603759765625,16263036,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-09-30 00:00:00+05:30,742.0873538076034,751.6090811295566,740.7304361257566,746.2750244140625,15975348,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-10-01 00:00:00+05:30,740.6836663870009,743.4910586790553,732.3784641896735,740.5432739257812,11128596,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-10-04 00:00:00+05:30,743.4910687947713,749.2696065845623,740.9644042742369,741.9703979492188,7051028,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-10-05 00:00:00+05:30,744.8947444690965,747.4681873677021,737.5253398049078,746.5089721679688,10257178,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-10-06 00:00:00+05:30,746.7663223214056,761.2009857374555,742.5552340376382,755.609619140625,18600830,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-10-07 00:00:00+05:30,761.084061436561,761.5987386153337,751.9132577682348,753.5509033203125,11265724,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-10-08 00:00:00+05:30,754.2527714983781,758.9317589146212,748.7081828334393,749.8779296875,7245562,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-10-11 00:00:00+05:30,748.5911640642425,769.6933846455007,748.170043798271,764.4529418945312,13080848,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-10-12 00:00:00+05:30,760.3354701381298,768.0792173113862,760.3354701381298,762.48779296875,8176946,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-10-13 00:00:00+05:30,765.9502127890877,771.0970987638464,762.6749217142412,767.0731811523438,6225644,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-10-14 00:00:00+05:30,766.4180801076105,790.7488128094394,766.4180801076105,789.5322875976562,14757288,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
2021-10-18 00:00:00+05:30,797.7673126363635,807.125286978139,780.0105791694615,781.53125,28856456,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR
